Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,1996,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,254,C,25,C,5111
Kittiwake,2010,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SW Pot,NK13184185,NK04222857,,1.1,AON,63,C,56,C,
Kittiwake,1999,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,223,C,29,C,5114
Kittiwake,1993,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,289,C,87,C,5108
Kittiwake,2006,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,295,C,212,C,5121
Kittiwake,2005,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,235,C,254,C,5120
Kittiwake,2013,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SE Pot,NK13184185,NK04222857,,1.1,AON,16,C,2,C,A late breeding season.
Kittiwake,1989,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,282,C,384,C,5105
Kittiwake,2001,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,194,C,175,C,5116
Kittiwake,2009,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Camel's Back,NK13184185,NK04222857,,other,AON,51,C,6,C,5124
Kittiwake,2009,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SE Pot,NK13184185,NK04222857,,other,AON,20,C,21,C,5124
Kittiwake,2013,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Bay N of Pot,NK13184185,NK04222857,,1.1,AON,93,C,79,C,A late breeding season.
Kittiwake,2013,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,W Pot,NK13184185,NK04222857,,1.1,AON,85,C,41,C,A late breeding season.
Kittiwake,2019,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Camel's Back,NK13184185,NK04222857,,1.1,AON,72,C,76,C,
Kittiwake,2007,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,329,C,125,C,5122
Kittiwake,2013,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Camel's Back,NK13184185,NK04222857,,1.1,AON,18,C,5,C,A late breeding season.
Kittiwake,2016,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SW Pot,NK13184185,NK04222857,,1.1,AON,64,C,68,C,
Kittiwake,2016,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Bay N of Pot,NK13184185,NK04222857,,1.1,AON,121,C,128,C,
Kittiwake,1995,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,266,C,218,C,5110
Kittiwake,2009,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SW Pot,NK13184185,NK04222857,,other,AON,58,C,72,C,5124
Kittiwake,2010,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,W Pot,NK13184185,NK04222857,,1.1,AON,86,C,44,C,
Kittiwake,2016,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SE Pot,NK13184185,NK04222857,,1.1,AON,17,C,12,C,
Kittiwake,2013,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SW Pot,NK13184185,NK04222857,,1.1,AON,57,C,33,C,A late breeding season.
