Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,2012,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,505,C,439,C,
Kittiwake,2007,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,606,C,151,C,2466
Kittiwake,2013,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,722,C,438,C,
Kittiwake,2004,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,539,C,54,C,2463
Kittiwake,2011,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,658,C,653,C,
Kittiwake,1995,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,602,C,692,C,2454
Kittiwake,1997,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,760,C,547,C,2456
Kittiwake,1998,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,779,C,257,C,2457
Kittiwake,1990,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,604,C,604,C,2449
Kittiwake,1992,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,320,C,346,C,2451
Kittiwake,1989,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,644,C,882,C,2448
Kittiwake,1993,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,487,C,356,C,2452
Kittiwake,2001,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,724,C,514,C,2460
Kittiwake,2006,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,568,C,324,C,2465
Kittiwake,2014,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,602,C,515,C,
Kittiwake,2000,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,609,C,597,C,2459
Kittiwake,1988,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,775,C,907,C,2447
Kittiwake,1987,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,660,C,746,C,2446
Kittiwake,1991,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,633,C,380,C,2450
Kittiwake,2003,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,638,C,549,C,2462
Kittiwake,2010,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,560,C,644,C,
Kittiwake,2002,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,644,C,509,C,2461
Kittiwake,2009,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,593,C,702,C,2468
Kittiwake,1994,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,631,C,555,C,2453
Kittiwake,1996,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,668,C,855,C,2455
Kittiwake,1999,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,704,C,577,C,2458
Kittiwake,2005,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,590,C,372,C,2464
Kittiwake,2008,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,616,C,202,C,2467
Kittiwake,2015,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,723,C,545,C,
