Species,Country,County,Site ID,Site,Master site,StartGrid,EndGrid,Start date,End date,Times,Method,Unit,Wind,Rain,Visibility,Sea,Count,Accuracy,Estimate type,Comments
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2019,21/06/2019,00:00 - 00:00,1.2,AON,0,1,1,1,4402,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1987,31/12/1987,,1.2,AON,,,,,5915,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1989,31/12/1989,,,AON,,,,,6148,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1991,31/12/1991,,,AON,,,,,5743,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1993,31/12/1993,,,AON,,,,,5889,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1995,31/12/1995,,,AON,,,,,6313,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1997,31/12/1997,,,AON,,,,,6119,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1998,31/12/1998,,,AON,,,,,5009,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/1999,31/12/1999,,,AON,,,,,5492,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2000,31/12/2000,,,AON,,,,,5125,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2001,31/12/2001,,,AON,,,,,5781,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2002,31/12/2002,,,AON,,,,,5055,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2003,31/12/2003,,,AON,,,,,5192,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2004,31/12/2004,,,AON,,,,,5151,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2005,31/12/2005,,,AON,,,,,5376,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2010,31/12/2010,,1.2,AON,,,,,4768,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,262,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,207,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,1185,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,175,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,1168,C,,"No methods, dates or times provided."
