Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,2010,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook South,TA231691,TA155754,,1.1,AON,50,C,57,C,
Kittiwake,2013,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Low,TA231691,TA155754,,1.1,AON,51,C,43,C,
Kittiwake,2013,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 1,TA231691,TA155754,,1.1,AON,49,C,21,C,
Kittiwake,2013,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 2,TA231691,TA155754,,1.1,AON,52,C,28,C,
Kittiwake,2019,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Back of Newcombe,TA231691,TA155754,,1.1,AON,55,C,44,C,
Kittiwake,2014,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 1,TA231691,TA155754,,1.1,AON,52,C,33,C,
Kittiwake,2013,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Swineshaw Hole,TA231691,TA155754,,1.1,AON,44,C,8,C,
Kittiwake,2016,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Old Dor,TA231691,TA155754,,1.1,AON,50,C,28,C,
Kittiwake,1994,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,ALL,TA231691,TA155754,,other,AON,265,C,260,C,4906
Kittiwake,2016,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Back of Newcombe,TA231691,TA155754,,1.1,AON,61,C,28,C,
Kittiwake,2009,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 2,TA231691,TA155754,,1.1,AON,50,C,55,C,
Kittiwake,2014,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Mid,TA231691,TA155754,,1.1,AON,50,C,49,C,
Kittiwake,2014,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Back of Newcombe,TA231691,TA155754,,1.1,AON,52,C,42,C,
Kittiwake,2012,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Lighthouse,TA231691,TA155754,,1.1,AON,48,C,46,C,
Kittiwake,2016,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle from Breil,TA231691,TA155754,,1.1,AON,50,C,34,C,
Kittiwake,2019,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Carter Lane 1,TA231691,TA155754,,1.1,AON,52,C,23,C,
Kittiwake,2013,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle from Breil,TA231691,TA155754,,1.1,AON,50,C,17,C,
Kittiwake,2008,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,ALL,TA231691,TA155754,,other,AON,319,C,265,C,4919
Kittiwake,2009,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook South,TA231691,TA155754,,1.1,AON,50,C,49,C,
Kittiwake,1986,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,ALL,TA231691,TA155754,,other,AON,285,C,322,C,4898
Kittiwake,2011,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near,TA231691,TA155754,,1.1,AON,50,C,43,C,
Kittiwake,2012,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook North,TA231691,TA155754,,1.1,AON,48,C,35,C,
Kittiwake,2014,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near Edge,TA231691,TA155754,,1.1,AON,50,C,43,C,
Kittiwake,2015,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Mid,TA231691,TA155754,,1.1,AON,50,C,40,C,
Kittiwake,2011,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Far Edge,TA231691,TA155754,,1.1,AON,50,C,53,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Newcombe,TA231691,TA155754,,1.1,AON,47,C,9,C,
Kittiwake,2010,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near Edge,TA231691,TA155754,,1.1,AON,50,C,50,C,
Kittiwake,2014,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Jubilee Far,TA231691,TA155754,,1.1,AON,50,C,44,C,
Kittiwake,2018,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Far Edge,TA231691,TA155754,,1.1,AON,50,C,34,C,
Kittiwake,2019,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Newcombe,TA231691,TA155754,,1.1,AON,50,C,23,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook South,TA231691,TA155754,,1.1,AON,50,C,32,C,
Kittiwake,2019,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 2,TA231691,TA155754,,1.1,AON,50,C,21,C,
Kittiwake,2010,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Mid,TA231691,TA155754,,1.1,AON,50,C,50,C,
Kittiwake,2014,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Back of Breil Nook,TA231691,TA155754,,1.1,AON,50,C,10,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Carter Lane 1,TA231691,TA155754,,1.1,AON,50,C,25,C,
Kittiwake,2004,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,ALL,TA231691,TA155754,,other,AON,313,C,53,C,4915
Kittiwake,1993,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,ALL,TA231691,TA155754,,other,AON,278,C,259,C,4905
Kittiwake,2014,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near,TA231691,TA155754,,1.1,AON,51,C,46,C,
Kittiwake,2010,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Carter Lane 2,TA231691,TA155754,,1.1,AON,50,C,51,C,
Kittiwake,2010,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook North,TA231691,TA155754,,1.1,AON,50,C,45,C,
Kittiwake,2018,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Low,TA231691,TA155754,,1.1,AON,50,C,24,C,
Kittiwake,2016,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Jubilee Far,TA231691,TA155754,,1.1,AON,50,C,25,C,
Kittiwake,2015,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Carter Lane 1,TA231691,TA155754,,1.1,AON,50,C,22,C,
Kittiwake,2011,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Back of Newcombe,TA231691,TA155754,,1.1,AON,50,C,33,C,
Kittiwake,2018,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Bartlett Nab Far,TA231691,TA155754,,1.1,AON,50,C,23,C,
Kittiwake,2018,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near,TA231691,TA155754,,1.1,AON,50,C,16,C,
Kittiwake,2015,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 2,TA231691,TA155754,,1.1,AON,50,C,47,C,
Kittiwake,2018,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Old Dor,TA231691,TA155754,,1.1,AON,50,C,35,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook North,TA231691,TA155754,,1.1,AON,50,C,42,C,
Kittiwake,2009,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Newcombe,TA231691,TA155754,,1.1,AON,50,C,36,C,
