Species,Country,County,Site ID,Site,Master site,StartGrid,EndGrid,Start date,End date,Times,Method,Unit,Wind,Rain,Visibility,Sea,Count,Accuracy,Estimate type,Comments
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,13/07/2020,,09:00 - 12:00,1.2,AON,2,1,1,2,346,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,30/06/2012,,09:30 - 11:30,1.2,AON,2,1,1,2,191,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,01/01/1990,31/12/1990,,,AON,,,,,598,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,01/01/1992,31/12/1992,,,AON,,,,,489,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,29/05/1994,16/06/1994,,,AON,,,,,326,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,28/05/1996,,,,AON,,,,,314,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,01/01/1998,31/12/1998,,,AON,,,,,243,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,21/06/2000,,,,AON,,,,,343,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,01/06/2002,,,,AON,,,,,315,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,12/06/2011,,10:15 - 12:30,1.2,AON,1,1,1,1,204,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,05/06/2004,,,,AON,,,,,217,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,06/06/2005,,,,AON,,,,,257,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,13/06/2009,,09:15 - 14:15,1.2,AON,0,1,1,1,237,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,03/06/2006,,,1.2,AON,2,1,1,2,275,E,Mid,Method given as mix of 1.1 and 1.2.
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,14/06/2008,,10:00 - 11:30,1.2,AON,2,1,1,2,222,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,01/06/2014,,15:30 - 17:00,1.2,AON,0,1,1,1,167,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,10/06/2015,,10:50 - 13:30,1.2,AON,1,1,1,2,275,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,02/06/2018,,14:30 - 16:00,1.2,AON,1,1,1,2,251,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,22/05/2016,,12:30 - 15:30,1.2,AON,2,1,1,1,259,E,Mid,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,02/06/2019,,11:45 - 14:00,1.2,AON,0,1,1,1,319,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,01/01/1991,31/12/1991,,,AON,,,,,494,C,,
Kittiwake,Scotland,East Lothian,96957,Fidra,Forth Islands SPA,NT51158697,,01/01/1993,31/12/1993,,,AON,,,,,452,C,,
