Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Site active,Site category,Site type,Site habitat,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,2017,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,12,NO881798,NO880817,Y,,,,01/06/2017,1.1,AON,105,C,102,C,
Kittiwake,2018,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,12,NO881798,NO880817,Y,,,,01/06/2018,1.1,AON,89,C,30,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,1,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,60,C,53,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,2,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,45,C,26,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,5,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,30,C,21,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,6,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,42,C,35,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,9,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,60,C,75,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,10,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,60,C,49,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,11,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,60,C,65,C,
Kittiwake,2019,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,12,NO881798,NO880817,Y,,,,01/06/2019,1.1,AON,103,C,73,C,
Kittiwake,2009,Scotland,Kincardine and Deeside,89304,Fowlsheugh RSPB,Fowlsheugh SPA,8,NO881798,NO880817,Y,,,,,other,AON,20,C,17,C,2491
