Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,2019,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,01/06/2019,1.1,AON,30,C,23,C,
Kittiwake,2012,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,505,C,439,C,
Kittiwake,2013,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,30,C,36,C,
Kittiwake,2007,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,606,C,151,C,2466
Kittiwake,2013,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,722,C,438,C,
Kittiwake,1999,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,51,C,42,C,2359
Kittiwake,2016,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,30,C,32,C,
Kittiwake,2004,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,539,C,54,C,2463
Kittiwake,2011,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,658,C,653,C,
Kittiwake,2005,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,127,C,137,C,2365
Kittiwake,1995,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,602,C,692,C,2454
Kittiwake,1997,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,760,C,547,C,2456
Kittiwake,2010,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,1.1,AON,30,C,39,C,
Kittiwake,2011,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,30,C,45,C,
Kittiwake,2012,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,215,C,235,C,
Kittiwake,1997,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,61,C,53,C,2357
Kittiwake,2018,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,30,C,32,C,
Kittiwake,1998,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,779,C,257,C,2457
Kittiwake,2001,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,66,C,86,C,2361
Kittiwake,1990,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,604,C,604,C,2449
Kittiwake,1992,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,320,C,346,C,2451
