Species,Country,County,Site ID,Site,Master site,StartGrid,EndGrid,Start date,End date,Times,Method,Unit,Wind,Rain,Visibility,Sea,Count,Accuracy,Estimate type,Comments
Kittiwake,England,Northumberland,84128,Berwick 4,Berwick to Scottish Border,NT99235549,NT99015582,10/06/2000,,12:00 - 13:00,1.2,AON,2,1,1,2,467,C,,
Kittiwake,England,Northumberland,84133,Seahouses 1,Seahouses,NU224322,NU226324,26/06/2000,,14:00 - 15:30,1.2,AON,0,1,1,1,298,C,,
Kittiwake,England,Northumberland,83972,Howick,Howick - Cullornose Point - Dunstanburgh Castle Point,NU26131773,NU25911850,14/06/2000,,08:10 - 08:55,1.2,AON,1,2,1,2,620,C,,
Kittiwake,England,Northumberland,83975,Dunstanburgh Castle,Howick - Cullornose Point - Dunstanburgh Castle Point,NU25822184,NU25782207,14/06/2000,,10:40 - 12:45,1.2,AON,1,1,1,2,499,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/1991,31/12/1991,,,AON,,,,,1,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/1993,31/12/1993,,,AON,,,,,21,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/1995,31/12/1995,,,AON,,,,,47,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/1997,31/12/1997,,,AON,,,,,61,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/1999,31/12/1999,,,AON,,,,,51,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2000,31/12/2000,,,AON,,,,,80,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2002,31/12/2002,,,AON,,,,,81,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2004,31/12/2004,,,AON,,,,,85,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2009,31/12/2009,,,AON,,,,,168,C,,Imported from RSPB database on 15/01/2010
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2008,31/12/2008,,1.2,AON,,,,,161,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2008,31/12/2008,,,AON,,,,,4275,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,262,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,207,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,1185,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,175,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,1168,C,,"No methods, dates or times provided."
