Species,Country,County,Site ID,Site,Master site,StartGrid,EndGrid,Start date,End date,Times,Method,Unit,Wind,Rain,Visibility,Sea,Count,Accuracy,Estimate type,Comments
Kittiwake,Scotland,Berwickshire,99011,Fast Castle Head,St Abb's Head to Fast Castle SPA,NT861711,NT834701,07/06/2018,,11:20 - 11:56,1.1,AON,3,1,1,2,0,C,,Counted by David Ross
Kittiwake,Scotland,Berwickshire,99011,Fast Castle Head,St Abb's Head to Fast Castle SPA,NT861711,NT834701,07/06/2016,,,1.2,AON,1,1,2,2,5,C,,
Kittiwake,Scotland,Berwickshire,99011,Fast Castle Head,St Abb's Head to Fast Castle SPA,NT861711,NT834701,11/06/2000,,,1.2,AON,,,,,792,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/1991,31/12/1991,,,AON,,,,,16183,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/1993,31/12/1993,,,AON,,,,,15268,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/1994,31/12/1994,,,AON,,,,,13007,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/1996,31/12/1996,,,AON,,,,,13437,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/1998,31/12/1998,,,AON,,,,,8044,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/2000,31/12/2000,,,AON,,,,,11077,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/2002,31/12/2002,,,AON,,,,,8890,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,01/01/2004,31/12/2004,,,AON,,,,,6239,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,12/06/2007,,,1.2,AON,2,1,2,2,313,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,13/06/2007,,,1.2,AON,2,1,1,2,1631,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,18/06/2008,,15:30 - 17:00,1.1,AON,2,1,1,1,580,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,10/06/2008,,15:00 - 15:45,1.2,AON,1,1,1,2,116,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,16/06/2008,,10:10 - 13:00,1.2,AON,1,1,1,3,2930,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,17/06/2008,,09:30 - 10:30,1.2,AON,2,1,1,4,814,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,11/06/2010,,10:15 - 12:45,1.1,AON,2,1,1,2,266,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,13/06/2010,,14:25 - 15:25,1.1,AON,3,1,1,2,123,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,15/06/2010,,,1.1,AON,,,,,594,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,07/06/2012,20/06/2012,,1.1,AON,,,,,3631,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,07/06/2012,20/06/2012,,1.1,AON,,,,,683,E,Mid,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,16/06/2010,,14:45 - 16:00,1.1,AON,1,1,1,1,476,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,06/06/2011,14/06/2011,,1.1,AON,3,1,1,2,3947,C,,
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,20/06/2006,,,1.1,AON,,1,1,1,748,C,,wind not recorded
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,25/06/2006,,,1.2,AON,,1,1,,833,C,,sea state or wind not recorded
Kittiwake,Scotland,Berwickshire,85934,St Abb's Head NNR,St Abb's Head to Fast Castle SPA,NT91776765,NT90756908,21/06/2006,,,1.2,AON,,1,1,,3153,C,,sea state or wind not recorded
